Dish.ID,Species,1,6,9,12,14,16,19,21,23,26,30,34,37,41,43,Length,Temperature,Moisture,Replicate,Start.Seeds,End.Seeds,Moldy,Empty,Viable,Starting.viable.count,Total.germinated
30,FH,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,5M,RT,PR,2,18,8,1,4,3,13,10
31,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PO,3,18,18,5,3,10,10,0
31,FH,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,5M,MF,PO,3,18,13,3,4,6,11,5
32,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,MF,PO,1,18,18,8,7,3,3,0
32,FH,0,0,3,6,1,2,0,0,0,0,0,0,0,0,1,1M,MF,PO,1,18,5,0,0,5,18,13
33,FC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1M,RT,PR,3,18,16,10,2,4,6,2
33,FH,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,1M,RT,PR,3,18,12,0,5,7,13,6
34,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5M,FR,NS,3,18,17,3,5,9,10,1
34,FH,0,1,6,2,1,0,0,1,0,0,0,0,0,0,0,5M,FR,NS,3,18,7,1,3,3,14,11
35,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PR,3,18,18,2,10,6,6,0
35,FH,0,1,7,3,0,1,0,0,0,0,0,0,0,0,0,3M,DF,PR,3,18,6,0,2,4,16,12
36,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,FR,PR,2,18,18,4,6,8,8,0
36,FH,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,1M,FR,PR,2,18,12,2,3,7,13,6
37,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,FR,PO,2,18,18,5,5,8,8,0
37,FH,0,1,0,2,2,1,2,0,1,0,0,0,0,0,0,1M,FR,PO,2,18,9,0,4,5,14,9
38,FC,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PR,3,18,16,3,4,9,11,2
38,FH,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PR,3,18,12,2,5,5,11,6
39,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,NS,3,18,18,3,4,11,11,0
