"Dish.ID","Species","Length","Temperature","Moisture","Starting.viable.count","Total.germinated","Combo"
"71","FC","3M","FR","PO",10,1,"3M.FR.PO"
"72","FC","1M","MF","PR",13,1,"1M.MF.PR"
"73","FC","5M","DF","PO",9,0,"5M.DF.PO"
"74","FC","3M","MF","PO",4,0,"3M.MF.PO"
"75","FC","3M","DF","NS",9,2,"3M.DF.NS"
"76","FC","5M","MF","PO",7,2,"5M.MF.PO"
"77","FC","5M","DF","PO",10,1,"5M.DF.PO"
"78","FC","3M","MF","PO",8,2,"3M.MF.PO"
"79","FC","5M","MF","NS",8,1,"5M.MF.NS"
"80","FC","3M","RT","PR",4,0,"3M.RT.PR"
"81","FC","5M","FR","PO",5,1,"5M.FR.PO"
"82","FC","5M","MF","PR",6,3,"5M.MF.PR"
"83","FC","5M","FR","PR",4,0,"5M.FR.PR"
"84","FC","1M","MF","PO",8,2,"1M.MF.PO"
"85","FC","1M","FR","NS",8,1,"1M.FR.NS"
"86","FC","1M","FR","PR",10,2,"1M.FR.PR"
"87","FC","1M","RT","PR",8,0,"1M.RT.PR"
"88","FC","3M","DF","NS",8,1,"3M.DF.NS"
"90","FC","5M","FR","PR",4,0,"5M.FR.PR"
"91","FC","5M","DF","NS",6,0,"5M.DF.NS"
"92","FC","5M","DF","NS",6,0,"5M.DF.NS"
"93","FC","C","RT","NS",9,0,"C.RT.NS"
"94","FC","3M","MF","NS",10,0,"3M.MF.NS"
"95","FC","5M","DF","PR",9,1,"5M.DF.PR"
"96","FC","C","RT","PO",12,1,"C.RT.PO"
